college,section,seats,instructor
Blue Ridge Community College,MKT-120-201L,5,"Hembree, K"
Blue Ridge Community College,MKT-120-501W,24,
Blue Ridge Community College,MKT-220-201,17,"Levy, G"
Blue Ridge Community College,MUS-110-201L,4,"Ayesh, K"
Blue Ridge Community College,NET-125-201,8,"Andrews, J"
Blue Ridge Community College,NET-225-201,20,"Andrews, J"
Blue Ridge Community College,NOS-120-201,11,"McFadden, C"
Blue Ridge Community College,NOS-130-201,6,"McFadden, C"
Blue Ridge Community College,OST-136-201L,8,"Capps, V"
Blue Ridge Community College,OST-141-201,17,"Owen, A"
Blue Ridge Community College,OST-164-201L,11,"Capps, V"
Blue Ridge Community College,OST-184-201L,10,"Garland, J"
Blue Ridge Community College,PED-110-201L,9,"Phillips, K"
Blue Ridge Community College,PED-110-501,18,"Phillips, K"
Blue Ridge Community College,PHI-240-201L,1,"Mason, D"
Blue Ridge Community College,PHI-240-202L,0,"Mason, D"
Blue Ridge Community College,PHI-240-203L,2,"Williamson, E"
Blue Ridge Community College,PHI-240-501,23,"Williamson, E"
Blue Ridge Community College,POL-120-201L,0,"Thompson, K"
Blue Ridge Community College,POL-130-201,9,"Thompson, K"
Blue Ridge Community College,PSY-150-201L,4,"House, M"
Blue Ridge Community College,PSY-150-202L,2,"House, M"
Blue Ridge Community College,PSY-150-203L,2,"DeWitt, D"
Blue Ridge Community College,PSY-150-401W,2,"DeWitt, D"
Blue Ridge Community College,PSY-150-501W,20,"Grabowski, J"
Blue Ridge Community College,PSY-281-201L,4,"House, M"
Blue Ridge Community College,REL-110-201L,2,"Williamson, E"
Blue Ridge Community College,REL-211-201L,16,"Williamson, E"
Blue Ridge Community College,SEC-160-201,20,"Hollifield, R"
Blue Ridge Community College,SOC-210-201L,0,"Hagedorn, A"
Blue Ridge Community College,SOC-210-202L,1,"Hagedorn, A"
Blue Ridge Community College,SOC-210-203L,2,"Berry, A"
Blue Ridge Community College,SOC-210-501,17,"Berry, A"
Blue Ridge Community College,SOC-220-201,1,"Hagedorn, A"
Blue Ridge Community College,SPA-111-201L,2,"Vera, M"
Blue Ridge Community College,SPA-120-201L,23,"Vera, M"
Blue Ridge Community College,SPA-161-201,23,"Vera, M"
Blue Ridge Community College,SPA-181-201L,2,"Vera, M"
Blue Ridge Community College,SPA-182-201L,8,"Vera, M"
Blue Ridge Community College,SPI-114-201L,20,"Vera, M"
Blue Ridge Community College,WBL-115-201,0,"Fichera-Lening, R"
Blue Ridge Community College,WEB-225-201,19,"Walsh, T"
Blue Ridge Community College,WLD-141-201,4,"Broome, M"
Edgecombe Community College,ACA-111-OL1,4,"Hill, U"
Edgecombe Community College,ACA-111-OL2,3,"Bracy, T"
Edgecombe Community College,ACA-111-OL3,13,"Bracy, T"
Edgecombe Community College,ACA-122-OL1,3,"Spencer, S"
Edgecombe Community College,ACA-122-OL2,3,"Spencer, S"
Edgecombe Community College,ACA-122-OL3,5,"Hill, U"
Edgecombe Community College,ACC-120-OL1,3,"Reason, A"
Edgecombe Community College,ACC-121-OL1,13,"Reason, A"
Edgecombe Community College,ACC-131-OL1,10,"Reeves, J"
Edgecombe Community College,ACC-140-OL1,19,"Reason, A"
Edgecombe Community College,ACC-150-OL1,20,"Reeves, J"
Edgecombe Community College,ACC-152-OL1,21,"Reeves, J"
Edgecombe Community College,ACC-220-OL1,21,"Reeves, J"
Edgecombe Community College,AGR-212-OL1,20,"Bradshaw, S"
Edgecombe Community College,ART-111-OL1,0,"Hardee, D"
Edgecombe Community College,ART-111-OL2,0,"Hardee, D"
Edgecombe Community College,ART-111-OL3,7,"Hardee, D"
Edgecombe Community College,ART-111-OL4,0,"Cofield, D"
Edgecombe Community College,ART-111-OL5,11,"Cofield, D"
Edgecombe Community College,BIO-094-OL1,0,"Horner, C"
Edgecombe Community College,BIO-094-OL2,3,"Horner, C"
Edgecombe Community College,BIO-110-OL1,7,"Saunders, C"
Edgecombe Community College,BIO-110-OL2,18,"Saunders, C"
Edgecombe Community College,BIO-112-OL1,18,"Walker, L"
Edgecombe Community College,BIO-155-OL1,12,"King, L"
Edgecombe Community College,BIO-155-OLH,20,"Eisenberg, S"
Edgecombe Community College,BIO-163-OL1,2,"Walker, L"
Edgecombe Community College,BIO-168-OL1,5,"Saunders, C"
Edgecombe Community College,BIO-168-OL2,12,"Jeansonne, N"
Edgecombe Community College,BIO-169-OL1,0,"Bracete, A"
Edgecombe Community College,BIO-169-OL2,1,"Bracete, A"
Edgecombe Community College,BIO-169-OL3,17,"Foster, A"
Edgecombe Community College,BUS-110-OL1,0,"Woherem, N"
Edgecombe Community College,BUS-110-OL2,1,"Woherem, N"
Edgecombe Community College,BUS-115-OL1,1,"Boyette, A"
Edgecombe Community College,BUS-121-OL1,10,"Reason, A"
Edgecombe Community College,BUS-137-OL1,16,"Cox, S"
Edgecombe Community College,BUS-230-OL1,7,"Reeves, J"
Edgecombe Community College,BUS-239-OL1,21,"Ellis-Kiser, J"
Edgecombe Community College,CHM-131-OL1,7,"Bracete, A"
Edgecombe Community College,CHM-131A-OL1,7,"Bracete, A"
Edgecombe Community College,CHM-151-OL1,12,"Bracete, A"
Edgecombe Community College,CIS-110-OL1,1,"Achilles, A"
Edgecombe Community College,CIS-110-OL2,3,"Cherry, G"
Edgecombe Community College,CIS-110-OL3,12,"Cherry, G"
Edgecombe Community College,CIS-110-OL7,11,"Cherry, G"
Edgecombe Community College,CIS-110-RW2,19,"Achilles, A"
Edgecombe Community College,CIS-113-OL1,10,"Cherry, G"
Edgecombe Community College,CJC-111-OL1,13,"Ackerman, G"
Edgecombe Community College,CJC-112-OL1,8,"Basile, R"
Edgecombe Community College,CJC-113-OL1,20,"Basile, R"
Edgecombe Community College,CJC-121-OL1,21,"Basile, R"
Edgecombe Community College,CJC-131-OL1,15,"Basile, R"
Edgecombe Community College,CJC-141-OL1,9,"Basile, R"
Edgecombe Community College,COM-140-OL1,3,"Lewis, B"
Edgecombe Community College,CSC-134-OL1,20,"Batts, A"
Edgecombe Community College,CTI-115-OL1,15,"Achilles, A"
Edgecombe Community College,CTI-120-OL1,15,"Cherry, G"
Edgecombe Community College,CTI-150-OL1,15,"Achilles, A"
Edgecombe Community College,CTS-155-OL1,18,"Batts, A"
Edgecombe Community College,DBA-120-OL1,6,"Cherry, G"
Edgecombe Community College,ECO-251-OL1,0,"Morgan, E"
Edgecombe Community College,ECO-252-OL1,13,"Morgan, E"
Edgecombe Community College,EDU-119-301,19,"Stocks, M"
Edgecombe Community College,EDU-119-OL2,17,"Derby, J"
Edgecombe Community College,EDU-144-OL1,11,"Bryant, P"
Edgecombe Community College,EDU-146-OL1,10,"Bryant, P"
Edgecombe Community College,EDU-151-301,18,"Stocks, M"
Edgecombe Community College,EDU-151-OL1,14,"Derby, J"
Edgecombe Community College,EDU-151A-301,18,"Stocks, M"
Edgecombe Community College,EDU-151A-OL1,21,"Derby, J"
Edgecombe Community College,EDU-163-OL1,18,"Bryant, P"
Edgecombe Community College,EDU-216-OL1,14,"Bryant, P"
Edgecombe Community College,EDU-221-OL1,20,"Stocks, M"
Edgecombe Community College,ELC-118-OL1,23,"Parrish, D"
Edgecombe Community College,ENG-011-OL5,7,"Howell, T"
Edgecombe Community College,ENG-112-OL1,1,"Coltraine, L"
Edgecombe Community College,ENG-112-OL2,0,"Coltraine, L"
Edgecombe Community College,ENG-112-OL3,1,"Coltraine, L"
Edgecombe Community College,ENG-112-OL4,7,"Howell, T"
Edgecombe Community College,ENG-114-OL1,4,"Owens, J"
Edgecombe Community College,ENG-114-OL2,16,"Owens, J"
Edgecombe Community College,GEL-111-OL1,0,"Hildreth, S"
Edgecombe Community College,GEO-111-OL1,18,"Hildreth, S"
Edgecombe Community College,GIS-110-OL2,24,"Parrish, T"
