college,section,credits,instructor,meeting_info,location
Blue Ridge Community College,ACC-227-201 ACC-227 Practices in Accounting,3,"Hosmer, J"," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ACC-240-201 ACC-240 Gov & Not-For-Profit Acct,3,"Lefevers, C"," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-201 ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-202 ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-203 ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-204 ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-205 ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-211 ART-111 Art Appreciation,3,"Bernard, A"," T/Th 11:00 AM - 12:15 PM TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-321 ART-111 Art Appreciation,3,"Danis-Stys, J"," W 2:00 PM - 3:10 PM TBD 1/6/2021 - 1/6/2021  Transylvania County, TCC Straus Bldg 116TBD Classroom Hours  - TBD 1/6/2021 - 5/5/2021  Transylvania County, Internet-Based Course 999TBD Classroom Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 116TBD Classroom Hours ', ' Transylvania County, Internet-Based Course 999TBD Classroom Hours ', '']"
Blue Ridge Community College,ART-111-401W ART-111 Art Appreciation,3,," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-111-501W ART-111 Art Appreciation,3,," - TBD 3/5/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-115-201 ART-115 Art History Survey II,3,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', '']"
Blue Ridge Community College,ART-121-701 ART-121 Two-Dimensional Design,3,"Bernard, A"," T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 106TBD Lab/Shop Hours  T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 106TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-122-701 ART-122 Three-Dimensional Design,3,"Bernard, A"," M/W 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 121TBD Lab/Shop Hours  M/W 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 121TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-131-701 ART-131 Drawing I,3,"Bernard, A"," M/W 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 114TBD Lab/Shop Hours  M/W 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 114TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-131-721 ART-131 Drawing I,3,"Danis-Stys, J"," T/Th 9:30 AM - 12:00 PM TBD 1/6/2021 - 5/5/2021  Transylvania County, TCC Straus Bldg 147TBD Lab/Shop Hours  T/Th 9:30 AM - 12:00 PM TBD 1/6/2021 - 5/5/2021  Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 147TBD Lab/Shop Hours ', ' Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-132-721 ART-132 Drawing II,3,"Danis-Stys, J"," T/Th 9:30 AM - 12:00 PM TBD 1/6/2021 - 5/5/2021  Transylvania County, TCC Straus Bldg 147TBD Lab/Shop Hours  T/Th 9:30 AM - 12:00 PM TBD 1/6/2021 - 5/5/2021  Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 147TBD Lab/Shop Hours ', ' Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-240-701 ART-240 Painting I,3,"Wyrick, J"," T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 114TBD Lab/Shop Hours  T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 114TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-241-701 ART-241 Painting II,3,"Wyrick, J"," T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 114TBD Lab/Shop Hours  T/Th 1:00 PM - 3:30 PM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 114TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-264-701 ART-264 Digital Photography I,3,"Johnson, L"," T/Th 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 127TBD Lab/Shop Hours  T/Th 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 127TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ART-265-701 ART-265 Digital Photography II,3,"Johnson, L"," T/Th 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Henderson Bldg 127TBD Lab/Shop Hours  T/Th 9:00 AM - 11:40 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Henderson Bldg 127TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
