Column1,college,section,seats,instructor
167,Blue Ridge Community College,REL-211-201L,16,"Williamson, E"
168,Blue Ridge Community College,SEC-160-201,20,"Hollifield, R"
169,Blue Ridge Community College,SOC-210-201L,0,"Hagedorn, A"
170,Blue Ridge Community College,SOC-210-202L,1,"Hagedorn, A"
171,Blue Ridge Community College,SOC-210-203L,2,"Berry, A"
172,Blue Ridge Community College,SOC-210-501,17,"Berry, A"
173,Blue Ridge Community College,SOC-220-201,1,"Hagedorn, A"
174,Blue Ridge Community College,SPA-111-201L,2,"Vera, M"
175,Blue Ridge Community College,SPA-120-201L,23,"Vera, M"
176,Blue Ridge Community College,SPA-161-201,23,"Vera, M"
177,Blue Ridge Community College,SPA-181-201L,2,"Vera, M"
178,Blue Ridge Community College,SPA-182-201L,8,"Vera, M"
179,Blue Ridge Community College,SPI-114-201L,20,"Vera, M"
180,Blue Ridge Community College,WBL-115-201,0,"Fichera-Lening, R"
181,Blue Ridge Community College,WEB-225-201,19,"Walsh, T"
182,Blue Ridge Community College,WLD-141-201,4,"Broome, M"
183,Edgecombe Community College,ACA-111-OL1,4,"Hill, U"
184,Edgecombe Community College,ACA-111-OL2,3,"Bracy, T"
185,Edgecombe Community College,ACA-111-OL3,13,"Bracy, T"
186,Edgecombe Community College,ACA-122-OL1,3,"Spencer, S"
187,Edgecombe Community College,ACA-122-OL2,3,"Spencer, S"
188,Edgecombe Community College,ACA-122-OL3,5,"Hill, U"
189,Edgecombe Community College,ACC-120-OL1,3,"Reason, A"
190,Edgecombe Community College,ACC-121-OL1,13,"Reason, A"
191,Edgecombe Community College,ACC-131-OL1,10,"Reeves, J"
192,Edgecombe Community College,ACC-140-OL1,19,"Reason, A"
193,Edgecombe Community College,ACC-150-OL1,20,"Reeves, J"
194,Edgecombe Community College,ACC-152-OL1,21,"Reeves, J"
195,Edgecombe Community College,ACC-220-OL1,21,"Reeves, J"
196,Edgecombe Community College,AGR-212-OL1,20,"Bradshaw, S"
197,Edgecombe Community College,ART-111-OL1,0,"Hardee, D"
198,Edgecombe Community College,ART-111-OL2,0,"Hardee, D"
199,Edgecombe Community College,ART-111-OL3,7,"Hardee, D"
200,Edgecombe Community College,ART-111-OL4,0,"Cofield, D"
201,Edgecombe Community College,ART-111-OL5,11,"Cofield, D"
202,Edgecombe Community College,BIO-094-OL1,0,"Horner, C"
203,Edgecombe Community College,BIO-094-OL2,3,"Horner, C"
204,Edgecombe Community College,BIO-110-OL1,7,"Saunders, C"
205,Edgecombe Community College,BIO-110-OL2,18,"Saunders, C"
206,Edgecombe Community College,BIO-112-OL1,18,"Walker, L"
207,Edgecombe Community College,BIO-155-OL1,12,"King, L"
208,Edgecombe Community College,BIO-155-OLH,20,"Eisenberg, S"
209,Edgecombe Community College,BIO-163-OL1,2,"Walker, L"
210,Edgecombe Community College,BIO-168-OL1,5,"Saunders, C"
211,Edgecombe Community College,BIO-168-OL2,12,"Jeansonne, N"
212,Edgecombe Community College,BIO-169-OL1,0,"Bracete, A"
213,Edgecombe Community College,BIO-169-OL2,1,"Bracete, A"
214,Edgecombe Community College,BIO-169-OL3,17,"Foster, A"
215,Edgecombe Community College,BUS-110-OL1,0,"Woherem, N"
216,Edgecombe Community College,BUS-110-OL2,1,"Woherem, N"
217,Edgecombe Community College,BUS-115-OL1,1,"Boyette, A"
218,Edgecombe Community College,BUS-121-OL1,10,"Reason, A"
219,Edgecombe Community College,BUS-137-OL1,16,"Cox, S"
220,Edgecombe Community College,BUS-230-OL1,7,"Reeves, J"
221,Edgecombe Community College,BUS-239-OL1,21,"Ellis-Kiser, J"
222,Edgecombe Community College,CHM-131-OL1,7,"Bracete, A"
223,Edgecombe Community College,CHM-131A-OL1,7,"Bracete, A"
224,Edgecombe Community College,CHM-151-OL1,12,"Bracete, A"
225,Edgecombe Community College,CIS-110-OL1,1,"Achilles, A"
226,Edgecombe Community College,CIS-110-OL2,3,"Cherry, G"
227,Edgecombe Community College,CIS-110-OL3,12,"Cherry, G"
228,Edgecombe Community College,CIS-110-OL7,11,"Cherry, G"
229,Edgecombe Community College,CIS-110-RW2,19,"Achilles, A"
230,Edgecombe Community College,CIS-113-OL1,10,"Cherry, G"
231,Edgecombe Community College,CJC-111-OL1,13,"Ackerman, G"
232,Edgecombe Community College,CJC-112-OL1,8,"Basile, R"
233,Edgecombe Community College,CJC-113-OL1,20,"Basile, R"
234,Edgecombe Community College,CJC-121-OL1,21,"Basile, R"
235,Edgecombe Community College,CJC-131-OL1,15,"Basile, R"
236,Edgecombe Community College,CJC-141-OL1,9,"Basile, R"
237,Edgecombe Community College,COM-140-OL1,3,"Lewis, B"
238,Edgecombe Community College,CSC-134-OL1,20,"Batts, A"
239,Edgecombe Community College,CTI-115-OL1,15,"Achilles, A"
240,Edgecombe Community College,CTI-120-OL1,15,"Cherry, G"
241,Edgecombe Community College,CTI-150-OL1,15,"Achilles, A"
242,Edgecombe Community College,CTS-155-OL1,18,"Batts, A"
243,Edgecombe Community College,DBA-120-OL1,6,"Cherry, G"
244,Edgecombe Community College,ECO-251-OL1,0,"Morgan, E"
245,Edgecombe Community College,ECO-252-OL1,13,"Morgan, E"
246,Edgecombe Community College,EDU-119-301,19,"Stocks, M"
247,Edgecombe Community College,EDU-119-OL2,17,"Derby, J"
248,Edgecombe Community College,EDU-144-OL1,11,"Bryant, P"
249,Edgecombe Community College,EDU-146-OL1,10,"Bryant, P"
250,Edgecombe Community College,EDU-151-301,18,"Stocks, M"
251,Edgecombe Community College,EDU-151-OL1,14,"Derby, J"
252,Edgecombe Community College,EDU-151A-301,18,"Stocks, M"
253,Edgecombe Community College,EDU-151A-OL1,21,"Derby, J"
254,Edgecombe Community College,EDU-163-OL1,18,"Bryant, P"
255,Edgecombe Community College,EDU-216-OL1,14,"Bryant, P"
256,Edgecombe Community College,EDU-221-OL1,20,"Stocks, M"
257,Edgecombe Community College,ELC-118-OL1,23,"Parrish, D"
258,Edgecombe Community College,ENG-011-OL5,7,"Howell, T"
259,Edgecombe Community College,ENG-112-OL1,1,"Coltraine, L"
260,Edgecombe Community College,ENG-112-OL2,0,"Coltraine, L"
261,Edgecombe Community College,ENG-112-OL3,1,"Coltraine, L"
262,Edgecombe Community College,ENG-112-OL4,7,"Howell, T"
263,Edgecombe Community College,ENG-114-OL1,4,"Owens, J"
264,Edgecombe Community College,ENG-114-OL2,16,"Owens, J"
265,Edgecombe Community College,GEL-111-OL1,0,"Hildreth, S"
266,Edgecombe Community College,GEO-111-OL1,18,"Hildreth, S"
267,Edgecombe Community College,GIS-110-OL2,24,"Parrish, T"
268,Edgecombe Community College,GIS-215-OL1,23,"Miller, M"
269,Edgecombe Community College,GIS-235-OL1,23,"Castongia, S"
270,Edgecombe Community College,GIS-245-OL1,23,"Castongia, S"
271,Edgecombe Community College,HEA-110-OL1,12,"Gaddy, M"
272,Edgecombe Community College,HEA-110-OLH,24,"Gaddy, M"
273,Edgecombe Community College,HEA-130-OL1,19,"Gaddy, M"
274,Edgecombe Community College,HIS-111-OL1,2,"Fleming, M"
275,Edgecombe Community College,HIS-111-OL2,12,"Fleming, M"
276,Edgecombe Community College,HIS-131-OL1,1,"Fleming, M"
277,Edgecombe Community College,HIT-110-OL1,13,"Keel, C"
278,Edgecombe Community College,HIT-112-OL1,15,"Foster, J"
279,Edgecombe Community College,HIT-114-OL1,13,"Keel, C"
280,Edgecombe Community College,HIT-124-TW3,17,"Keel, C"
281,Edgecombe Community College,HIT-210-OL1,3,"Foster, J"
282,Edgecombe Community College,HIT-211-OL1,19,"Gray, C"
283,Edgecombe Community College,HIT-215-OL1,3,"Gray, C"
284,Edgecombe Community College,HIT-222-TW1,2,"Everette, N"
285,Edgecombe Community College,HIT-222-TW2,8,"Everette, N"
286,Edgecombe Community College,HIT-226-OL1,19,"Gray, C"
287,Edgecombe Community College,HSE-110-OL1,6,"Pearson, R"
288,Edgecombe Community College,HSE-125-OL1,14,"Pearson, R"
289,Edgecombe Community College,HUM-110-OL1,9,"Bateman, E"
290,Edgecombe Community College,HUM-115-OL1,1,"Mehle, C"
291,Edgecombe Community College,HUM-115-OL2,2,"Mehle, C"
292,Edgecombe Community College,HUM-115-OL3,21,"Mehle, C"
293,Edgecombe Community College,HUM-115-OLH,21,"Coltraine, L"
294,Edgecombe Community College,HUM-140-OL1,22,"Fleming, M"
295,Edgecombe Community College,INT-110-OL1,12,"Woherem, N"
296,Edgecombe Community College,ISC-112-OL1,21,"Parrish, D"
297,Edgecombe Community College,ISC-132-OL1,23,"Williams, M"
298,Edgecombe Community College,LOG-110-OL1,16,"Ellis-Kiser, J"
299,Edgecombe Community College,LOG-125-OL1,23,"Ellis-Kiser, J"
300,Edgecombe Community College,LOG-210-OL1,18,"Ellis-Kiser, J"
301,Edgecombe Community College,LOG-230-OL1,22,"Ellis-Kiser, J"
302,Edgecombe Community College,MAT-003-OL1,3,"Carter, C"
303,Edgecombe Community College,MAT-003-OL2,3,"Carter, C"
304,Edgecombe Community College,MAT-003-OL3,1,"Copeland, P"
305,Edgecombe Community College,MAT-003-OL4,1,"Copeland, P"
306,Edgecombe Community College,MAT-003-OL5,2,"Copeland, P"
307,Edgecombe Community College,MAT-003-OL6,8,"Copeland, P"
308,Edgecombe Community College,MAT-010-OL2,13,"Ruffin, K"
309,Edgecombe Community College,MAT-021-OL1,13,"Stamilio-Ehret, R"
310,Edgecombe Community College,MAT-043-OL3,4,"Norville, K"
311,Edgecombe Community College,MAT-052-OL1,15,"Long, F"
312,Edgecombe Community College,MAT-071-OL4,8,"Ruffin, K"
313,Edgecombe Community College,MAT-110-OL1,4,"Long, F"
314,Edgecombe Community College,MAT-110-OL2,17,"Ruffin, K"
315,Edgecombe Community College,MAT-121-OL1,18,"Stamilio-Ehret, R"
316,Edgecombe Community College,MAT-143-OL1,5,"Killoran, T"
317,Edgecombe Community College,MAT-143-OL2,17,"Killoran, T"
318,Edgecombe Community College,MAT-143-OL3,2,"Killoran, T"
319,Edgecombe Community College,MAT-152-OL1,5,"Long, F"
320,Edgecombe Community College,MAT-152-OL2,17,"Long, F"
321,Edgecombe Community College,MAT-171-402,0,"Killoran, T"
322,Edgecombe Community College,MAT-171-OL1,0,"Long, F"
323,Edgecombe Community College,MAT-171-OL3,4,"Ruffin, K"
324,Edgecombe Community College,MAT-171-OL4,0,"Ruffin, K"
325,Edgecombe Community College,MAT-171-OL5,4,"Carter, C"
326,Edgecombe Community College,MED-118-OL1,19,"Walker, J"
327,Edgecombe Community College,MED-122-OL1,8,"Everette, N"
328,Edgecombe Community College,MED-122-OL4,22,"Gray, C"
329,Edgecombe Community College,MKT-120-OL1,0,"Woherem, N"
330,Edgecombe Community College,NET-126-OL1,23,"Batts, A"
331,Edgecombe Community College,NOS-120-OL1,19,"Achilles, A"
332,Edgecombe Community College,OST-131-OL1,16,"Eatmon, G"
333,Edgecombe Community College,OST-145-OL1,21,"Eatmon, G"
334,Edgecombe Community College,OST-181-OL1,11,"Eatmon, G"
335,Edgecombe Community College,OST-236-OL1,21,"Eatmon, G"
336,Edgecombe Community College,OST-247-OL1,19,"Gray, C"
337,Edgecombe Community College,OST-248-OL1,4,"Gray, C"
338,Edgecombe Community College,OST-284-OL1,18,"Eatmon, G"
339,Edgecombe Community College,OST-286-OL1,9,"Eatmon, G"
340,Edgecombe Community College,PED-110-OL1,15,"Gaddy, M"
341,Edgecombe Community College,PHI-240-OL1,7,"Henderson, J"
342,Edgecombe Community College,PHI-240-OL2,12,"Henderson, J"
343,Edgecombe Community College,POL-130-OL1,8,"Morgan, E"
344,Edgecombe Community College,PSY-150-OL1,4,"Hayes, K"
345,Edgecombe Community College,PSY-150-OL2,8,"Hayes, K"
346,Edgecombe Community College,PSY-150-OL3,3,"Hayes, K"
347,Edgecombe Community College,PSY-150-OL5,15,"Hayes, K"
348,Edgecombe Community College,PSY-241-OL1,3,"Hayes, K"
349,Edgecombe Community College,PSY-241-OL2,12,"Otrimski, L"
350,Edgecombe Community College,PSY-281-OL1,6,"Otrimski, L"
351,Edgecombe Community College,REL-110-OL1,7,"Riley, T"
352,Edgecombe Community College,SAB-110-OL1,20,"Pearson, R"
353,Edgecombe Community College,SAB-130-OL1,20,"Lee, T"
354,Edgecombe Community College,SAB-210-OL1,17,"Daniels, M"
355,Edgecombe Community College,SOC-210-OL1,1,"Basile, K"
356,Edgecombe Community College,SOC-210-OL2,3,"Basile, K"
357,Edgecombe Community College,SOC-210-OL3,1,"Basile, K"
358,Edgecombe Community College,SOC-210-OL4,12,"Basile, K"
359,Edgecombe Community College,SOC-210-OLH,24,"Hutton, S"
360,Edgecombe Community College,SOC-220-OL1,2,"Basile, K"
361,Edgecombe Community College,SOC-225-OL1,3,"Hutton, S"
362,Edgecombe Community College,SPA-111-OL1,15,"Giddens, A"
363,Edgecombe Community College,SUR-210-OL1,20,"Shippen, S"
364,Edgecombe Community College,SUR-211-OL1,10,"Shippen, S"
365,Edgecombe Community College,SWK-110-OL1,14,"Pearson, R"
366,Edgecombe Community College,UAS-110-OL2,24,"Parrish, T"
367,Edgecombe Community College,UAS-111-TW2,23,"Parrish, T"
368,Edgecombe Community College,UAS-115-OL2,24,"Parrish, T"
369,Edgecombe Community College,WBL-115-OL1,22,"Williams, M"
370,Halifax Community College,ACA-122-31D1,3,"Fournier, S"
371,Halifax Community College,ACA-122-32D6,0,"Fournier, S"
372,Halifax Community College,ACC-120-3D1,10,"Hamilton, B"
373,Halifax Community College,ACC-121-3D1,17,"Forester, D"
374,Halifax Community College,ART-111-31D1,4,"Snyder, S"
375,Halifax Community College,ART-111-32D2,0,"Snyder, S"
376,Halifax Community College,ART-111-3D3,1,"Snyder, S"
377,Halifax Community College,AUT-212-3D1,9,"Renn, M"
378,Halifax Community College,BIO-111-3D1,0,"Galvin, J"
379,Halifax Community College,BIO-111-3D2,1,"Galvin, J"
380,Halifax Community College,BPR-111-3D1,5,"Lynch, J"
381,Halifax Community College,BUS-110-31D3,6,"Eze, J"
382,Halifax Community College,BUS-110-32D4,17,"Eze, J"
383,Halifax Community College,BUS-115-3D1,20,"Eze, J"
384,Halifax Community College,BUS-147-3D1,26,"Eze, J"
385,Halifax Community College,BUS-260-3D1,24,"Blue, S"
386,Halifax Community College,CHM-131-3D1,7,"Carlisle, A"
387,Halifax Community College,CHM-131A-3D1,6,"Carlisle, A"
388,Halifax Community College,CHM-151-3D1,2,"Kilpatrick, K"
389,Halifax Community College,CIS-110-3D3,4,"Lashley, T"
390,Halifax Community College,CIS-110-3D4,5,"Lashley, T"
391,Halifax Community College,CJC-112-31D1,15,"Bartels, E"
392,Halifax Community College,CJC-132-31D1,14,"Avens, J"
393,Halifax Community College,CJC-141-32D1,16,"Bartels, E"
394,Halifax Community College,CJC-221-32D1,15,"Avens, J"
